Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5910","Export quantity","0141","Soya beans","1986","1986","t","102939","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5910","Export quantity","0141","Soya beans","1992","1992","t","28550","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5910","Export quantity","0141","Soya beans","1995","1995","t","105335","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5910","Export quantity","0141","Soya beans","1996","1996","t","213047","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5910","Export quantity","0141","Soya beans","1998","1998","t","408370","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5910","Export quantity","0141","Soya beans","2000","2000","t","2824976","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5910","Export quantity","0141","Soya beans","2001","2001","t","4964318","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5910","Export quantity","0141","Soya beans","2002","2002","t","2791776","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5910","Export quantity","0141","Soya beans","2003","2003","t","5841351","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5910","Export quantity","0141","Soya beans","2004","2004","t","4341701","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5910","Export quantity","0141","Soya beans","2005","2005","t","7552462","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5910","Export quantity","0141","Soya beans","2006","2006","t","6316658","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5910","Export quantity","0141","Soya beans","2007","2007","t","9158367","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5910","Export quantity","0141","Soya beans","2008","2008","t","9254052","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5910","Export quantity","0141","Soya beans","2009","2009","t","3143166","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5910","Export quantity","0141","Soya beans","2010","2010","t","11293590","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5910","Export quantity","0141","Soya beans","2011","2011","t","8763764","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5910","Export quantity","0141","Soya beans","2012","2012","t","5288084","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5910","Export quantity","0141","Soya beans","2013","2013","t","6156189","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5910","Export quantity","0141","Soya beans","2014","2014","t","5983176.5","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5910","Export quantity","0141","Soya beans","2015","2015","t","9723998.27","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5910","Export quantity","0141","Soya beans","2016","2016","t","7792820.85","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5910","Export quantity","0141","Soya beans","2017","2017","t","6603291","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5910","Export quantity","0141","Soya beans","2018","2018","t","3394680","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5910","Export quantity","0141","Soya beans","2019","2019","t","8962120","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5910","Export quantity","0141","Soya beans","2020","2020","t","5475490","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5910","Export quantity","0141","Soya beans","2021","2021","t","3435487","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5910","Export quantity","0141","Soya beans","2022","2022","t","4924690","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5910","Export quantity","0141","Soya beans","2023","2023","t","1736410","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5922","Export value","0141","Soya beans","1986","1986","1000 USD","19479","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5922","Export value","0141","Soya beans","1992","1992","1000 USD","5750","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5922","Export value","0141","Soya beans","1995","1995","1000 USD","21933","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5922","Export value","0141","Soya beans","1996","1996","1000 USD","68129","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5922","Export value","0141","Soya beans","1998","1998","1000 USD","90067","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5922","Export value","0141","Soya beans","2000","2000","1000 USD","531219","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5922","Export value","0141","Soya beans","2001","2001","1000 USD","827965","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5922","Export value","0141","Soya beans","2002","2002","1000 USD","505193","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5922","Export value","0141","Soya beans","2003","2003","1000 USD","1226878","A","Official figure"
"TM","Detailed trade matrix","032","Argentina","156","China, mainland","5922","Export value","0141","Soya beans","2004","2004","1000 USD","1153432","A","Official figure"
